zone,state,distance_km,risk_level,description
Ranchi,Jharkhand,1322,High,Remote or high-distance area
New Delhi,Delhi,437,Low,Low-risk region
Jaipur,Rajasthan,420,Low,Low-risk region
Amritsar,Punjab,1457,High,Remote or high-distance area
Hyderabad,Telangana,404,Low,Low-risk region
Manali,Himachal Pradesh,822,Moderate,Moderate travel area
New Delhi,Delhi,1488,High,Remote or high-distance area
Lucknow,Uttar Pradesh,593,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,879,Moderate,Moderate travel area
Ahmedabad,Gujarat,454,Low,Low-risk region
Chennai,Tamil Nadu,1288,High,Remote or high-distance area
Kolkata,West Bengal,162,Low,Low-risk region
Varanasi,Uttar Pradesh,944,Moderate,Moderate travel area
New Delhi,Delhi,956,Moderate,Moderate travel area
Goa,Goa,683,Moderate,Moderate travel area
Amritsar,Punjab,1301,High,Remote or high-distance area
Mumbai,Maharashtra,898,Moderate,Moderate travel area
Chennai,Tamil Nadu,1004,High,Remote or high-distance area
Dehradun,Uttarakhand,966,Moderate,Moderate travel area
Patna,Bihar,1337,High,Remote or high-distance area
Ahmedabad,Gujarat,948,Moderate,Moderate travel area
Pune,Maharashtra,1300,High,Remote or high-distance area
Bhopal,Madhya Pradesh,363,Low,Low-risk region
Thiruvananthapuram,Kerala,1035,High,Remote or high-distance area
Bhubaneswar,Odisha,563,Moderate,Moderate travel area
Chandigarh,Chandigarh,964,Moderate,Moderate travel area
Nagpur,Maharashtra,191,Low,Low-risk region
Lucknow,Uttar Pradesh,1417,High,Remote or high-distance area
Ahmedabad,Gujarat,326,Low,Low-risk region
Amritsar,Punjab,303,Low,Low-risk region
Jodhpur,Rajasthan,1393,High,Remote or high-distance area
Bhubaneswar,Odisha,628,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,424,Low,Low-risk region
Chandigarh,Chandigarh,1391,High,Remote or high-distance area
Bhubaneswar,Odisha,1277,High,Remote or high-distance area
Patna,Bihar,473,Low,Low-risk region
New Delhi,Delhi,678,Moderate,Moderate travel area
Jodhpur,Rajasthan,1379,High,Remote or high-distance area
Mumbai,Maharashtra,1157,High,Remote or high-distance area
Hyderabad,Telangana,79,Low,Low-risk region
Varanasi,Uttar Pradesh,145,Low,Low-risk region
Jaipur,Rajasthan,1280,High,Remote or high-distance area
Ranchi,Jharkhand,1196,High,Remote or high-distance area
Pune,Maharashtra,828,Moderate,Moderate travel area
Kolkata,West Bengal,1369,High,Remote or high-distance area
Chandigarh,Chandigarh,1471,High,Remote or high-distance area
Guwahati,Assam,920,Moderate,Moderate travel area
Indore,Madhya Pradesh,1044,High,Remote or high-distance area
Indore,Madhya Pradesh,740,Moderate,Moderate travel area
Kolkata,West Bengal,359,Low,Low-risk region
Jaipur,Rajasthan,508,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1047,High,Remote or high-distance area
Jodhpur,Rajasthan,1276,High,Remote or high-distance area
Shimla,Himachal Pradesh,1436,High,Remote or high-distance area
Pune,Maharashtra,148,Low,Low-risk region
Chandigarh,Chandigarh,55,Low,Low-risk region
Varanasi,Uttar Pradesh,469,Low,Low-risk region
Thiruvananthapuram,Kerala,850,Moderate,Moderate travel area
Raipur,Chhattisgarh,343,Low,Low-risk region
Manali,Himachal Pradesh,804,Moderate,Moderate travel area
Jodhpur,Rajasthan,1211,High,Remote or high-distance area
Bhubaneswar,Odisha,521,Moderate,Moderate travel area
Raipur,Chhattisgarh,770,Moderate,Moderate travel area
Jaipur,Rajasthan,1283,High,Remote or high-distance area
Hyderabad,Telangana,925,Moderate,Moderate travel area
Agra,Uttar Pradesh,1392,High,Remote or high-distance area
Bhopal,Madhya Pradesh,524,Moderate,Moderate travel area
Jaipur,Rajasthan,529,Moderate,Moderate travel area
Nagpur,Maharashtra,374,Low,Low-risk region
New Delhi,Delhi,143,Low,Low-risk region
Bhopal,Madhya Pradesh,1471,High,Remote or high-distance area
Jaipur,Rajasthan,1100,High,Remote or high-distance area
Ranchi,Jharkhand,971,Moderate,Moderate travel area
Manali,Himachal Pradesh,429,Low,Low-risk region
Shimla,Himachal Pradesh,1484,High,Remote or high-distance area
Shimla,Himachal Pradesh,1141,High,Remote or high-distance area
Indore,Madhya Pradesh,849,Moderate,Moderate travel area
Bengaluru,Karnataka,173,Low,Low-risk region
Jodhpur,Rajasthan,122,Low,Low-risk region
Pune,Maharashtra,1369,High,Remote or high-distance area
Mumbai,Maharashtra,1429,High,Remote or high-distance area
Chandigarh,Chandigarh,80,Low,Low-risk region
Pune,Maharashtra,606,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,775,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,111,Low,Low-risk region
Amritsar,Punjab,259,Low,Low-risk region
Hyderabad,Telangana,1073,High,Remote or high-distance area
Chennai,Tamil Nadu,1108,High,Remote or high-distance area
Lucknow,Uttar Pradesh,148,Low,Low-risk region
Goa,Goa,308,Low,Low-risk region
Bhubaneswar,Odisha,91,Low,Low-risk region
Amritsar,Punjab,421,Low,Low-risk region
Hyderabad,Telangana,523,Moderate,Moderate travel area
Raipur,Chhattisgarh,1065,High,Remote or high-distance area
Bengaluru,Karnataka,607,Moderate,Moderate travel area
Mumbai,Maharashtra,1308,High,Remote or high-distance area
Shimla,Himachal Pradesh,544,Moderate,Moderate travel area
Kolkata,West Bengal,956,Moderate,Moderate travel area
Pune,Maharashtra,174,Low,Low-risk region
Patna,Bihar,217,Low,Low-risk region
Bhopal,Madhya Pradesh,258,Low,Low-risk region
Pune,Maharashtra,1098,High,Remote or high-distance area
Ranchi,Jharkhand,101,Low,Low-risk region
Kolkata,West Bengal,968,Moderate,Moderate travel area
Amritsar,Punjab,987,Moderate,Moderate travel area
Raipur,Chhattisgarh,695,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1022,High,Remote or high-distance area
Jodhpur,Rajasthan,1060,High,Remote or high-distance area
Bhopal,Madhya Pradesh,116,Low,Low-risk region
Agra,Uttar Pradesh,518,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,872,Moderate,Moderate travel area
Bhubaneswar,Odisha,843,Moderate,Moderate travel area
Chandigarh,Chandigarh,1276,High,Remote or high-distance area
Mumbai,Maharashtra,170,Low,Low-risk region
Bhubaneswar,Odisha,389,Low,Low-risk region
Jodhpur,Rajasthan,792,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,658,Moderate,Moderate travel area
Ahmedabad,Gujarat,1180,High,Remote or high-distance area
Chennai,Tamil Nadu,580,Moderate,Moderate travel area
Raipur,Chhattisgarh,798,Moderate,Moderate travel area
New Delhi,Delhi,1122,High,Remote or high-distance area
Ahmedabad,Gujarat,1469,High,Remote or high-distance area
Pune,Maharashtra,144,Low,Low-risk region
Thiruvananthapuram,Kerala,924,Moderate,Moderate travel area
Hyderabad,Telangana,443,Low,Low-risk region
Bhopal,Madhya Pradesh,251,Low,Low-risk region
Kolkata,West Bengal,455,Low,Low-risk region
Bhopal,Madhya Pradesh,517,Moderate,Moderate travel area
Ahmedabad,Gujarat,105,Low,Low-risk region
Ahmedabad,Gujarat,1307,High,Remote or high-distance area
Agra,Uttar Pradesh,1204,High,Remote or high-distance area
Bhubaneswar,Odisha,541,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,831,Moderate,Moderate travel area
Indore,Madhya Pradesh,1215,High,Remote or high-distance area
Bengaluru,Karnataka,168,Low,Low-risk region
Raipur,Chhattisgarh,413,Low,Low-risk region
Dehradun,Uttarakhand,1176,High,Remote or high-distance area
Kolkata,West Bengal,751,Moderate,Moderate travel area
Jodhpur,Rajasthan,1112,High,Remote or high-distance area
Chandigarh,Chandigarh,1303,High,Remote or high-distance area
Patna,Bihar,997,Moderate,Moderate travel area
Surat,Gujarat,971,Moderate,Moderate travel area
Raipur,Chhattisgarh,388,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,778,Moderate,Moderate travel area
Patna,Bihar,1257,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1473,High,Remote or high-distance area
Thiruvananthapuram,Kerala,997,Moderate,Moderate travel area
Bhubaneswar,Odisha,1365,High,Remote or high-distance area
Jaipur,Rajasthan,693,Moderate,Moderate travel area
Mumbai,Maharashtra,565,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,708,Moderate,Moderate travel area
Chandigarh,Chandigarh,1481,High,Remote or high-distance area
Varanasi,Uttar Pradesh,609,Moderate,Moderate travel area
Chennai,Tamil Nadu,358,Low,Low-risk region
Ahmedabad,Gujarat,901,Moderate,Moderate travel area
Raipur,Chhattisgarh,895,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,965,Moderate,Moderate travel area
Bhubaneswar,Odisha,526,Moderate,Moderate travel area
Jaipur,Rajasthan,122,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,663,Moderate,Moderate travel area
Pune,Maharashtra,478,Low,Low-risk region
Chennai,Tamil Nadu,553,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,579,Moderate,Moderate travel area
New Delhi,Delhi,1134,High,Remote or high-distance area
Guwahati,Assam,491,Low,Low-risk region
Bhopal,Madhya Pradesh,760,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,771,Moderate,Moderate travel area
Manali,Himachal Pradesh,1251,High,Remote or high-distance area
Hyderabad,Telangana,225,Low,Low-risk region
Bhubaneswar,Odisha,1337,High,Remote or high-distance area
Jaipur,Rajasthan,829,Moderate,Moderate travel area
Kolkata,West Bengal,1266,High,Remote or high-distance area
Thiruvananthapuram,Kerala,225,Low,Low-risk region
Ranchi,Jharkhand,116,Low,Low-risk region
Bhubaneswar,Odisha,1000,High,Remote or high-distance area
Shimla,Himachal Pradesh,1450,High,Remote or high-distance area
Hyderabad,Telangana,643,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,510,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,504,Moderate,Moderate travel area
Patna,Bihar,1399,High,Remote or high-distance area
Bhubaneswar,Odisha,556,Moderate,Moderate travel area
Dehradun,Uttarakhand,471,Low,Low-risk region
Nagpur,Maharashtra,548,Moderate,Moderate travel area
Shimla,Himachal Pradesh,863,Moderate,Moderate travel area
Surat,Gujarat,1165,High,Remote or high-distance area
Bhubaneswar,Odisha,1348,High,Remote or high-distance area
Manali,Himachal Pradesh,670,Moderate,Moderate travel area
Ranchi,Jharkhand,972,Moderate,Moderate travel area
Patna,Bihar,172,Low,Low-risk region
Shimla,Himachal Pradesh,397,Low,Low-risk region
Thiruvananthapuram,Kerala,1201,High,Remote or high-distance area
Jaipur,Rajasthan,349,Low,Low-risk region
Bengaluru,Karnataka,1322,High,Remote or high-distance area
Raipur,Chhattisgarh,1191,High,Remote or high-distance area
Lucknow,Uttar Pradesh,464,Low,Low-risk region
Pune,Maharashtra,457,Low,Low-risk region
Ahmedabad,Gujarat,929,Moderate,Moderate travel area
Patna,Bihar,1002,High,Remote or high-distance area
Ranchi,Jharkhand,220,Low,Low-risk region
Chennai,Tamil Nadu,740,Moderate,Moderate travel area
Indore,Madhya Pradesh,1376,High,Remote or high-distance area
Mumbai,Maharashtra,307,Low,Low-risk region
Surat,Gujarat,1165,High,Remote or high-distance area
Hyderabad,Telangana,971,Moderate,Moderate travel area
Bhubaneswar,Odisha,952,Moderate,Moderate travel area
Shimla,Himachal Pradesh,562,Moderate,Moderate travel area
Jodhpur,Rajasthan,1500,High,Remote or high-distance area
Bhopal,Madhya Pradesh,247,Low,Low-risk region
Shimla,Himachal Pradesh,142,Low,Low-risk region
Hyderabad,Telangana,941,Moderate,Moderate travel area
Agra,Uttar Pradesh,599,Moderate,Moderate travel area
Nagpur,Maharashtra,1419,High,Remote or high-distance area
Pune,Maharashtra,258,Low,Low-risk region
Patna,Bihar,871,Moderate,Moderate travel area
Guwahati,Assam,496,Low,Low-risk region
New Delhi,Delhi,654,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,428,Low,Low-risk region
Dehradun,Uttarakhand,779,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,554,Moderate,Moderate travel area
Nagpur,Maharashtra,675,Moderate,Moderate travel area
Guwahati,Assam,117,Low,Low-risk region
Kolkata,West Bengal,1073,High,Remote or high-distance area
Lucknow,Uttar Pradesh,105,Low,Low-risk region
Jaipur,Rajasthan,383,Low,Low-risk region
Chandigarh,Chandigarh,703,Moderate,Moderate travel area
Raipur,Chhattisgarh,90,Low,Low-risk region
Jodhpur,Rajasthan,726,Moderate,Moderate travel area
Patna,Bihar,643,Moderate,Moderate travel area
Hyderabad,Telangana,352,Low,Low-risk region
Mumbai,Maharashtra,1324,High,Remote or high-distance area
Bhubaneswar,Odisha,1360,High,Remote or high-distance area
Kolkata,West Bengal,67,Low,Low-risk region
Dehradun,Uttarakhand,306,Low,Low-risk region
Surat,Gujarat,449,Low,Low-risk region
Lucknow,Uttar Pradesh,79,Low,Low-risk region
Guwahati,Assam,803,Moderate,Moderate travel area
Jaipur,Rajasthan,119,Low,Low-risk region
Nagpur,Maharashtra,239,Low,Low-risk region
Varanasi,Uttar Pradesh,1336,High,Remote or high-distance area
Varanasi,Uttar Pradesh,389,Low,Low-risk region
Agra,Uttar Pradesh,843,Moderate,Moderate travel area
Amritsar,Punjab,1237,High,Remote or high-distance area
Bhubaneswar,Odisha,1378,High,Remote or high-distance area
Bhubaneswar,Odisha,819,Moderate,Moderate travel area
Ranchi,Jharkhand,330,Low,Low-risk region
Dehradun,Uttarakhand,370,Low,Low-risk region
Nagpur,Maharashtra,568,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1221,High,Remote or high-distance area
Patna,Bihar,945,Moderate,Moderate travel area
Indore,Madhya Pradesh,1337,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1231,High,Remote or high-distance area
Nagpur,Maharashtra,700,Moderate,Moderate travel area
Agra,Uttar Pradesh,1418,High,Remote or high-distance area
Lucknow,Uttar Pradesh,935,Moderate,Moderate travel area
Goa,Goa,1435,High,Remote or high-distance area
Dehradun,Uttarakhand,1090,High,Remote or high-distance area
Guwahati,Assam,805,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,506,Moderate,Moderate travel area
Pune,Maharashtra,1368,High,Remote or high-distance area
New Delhi,Delhi,1291,High,Remote or high-distance area
Hyderabad,Telangana,592,Moderate,Moderate travel area
Surat,Gujarat,1296,High,Remote or high-distance area
Bhubaneswar,Odisha,167,Low,Low-risk region
Jaipur,Rajasthan,435,Low,Low-risk region
Mumbai,Maharashtra,1104,High,Remote or high-distance area
Hyderabad,Telangana,758,Moderate,Moderate travel area
Ahmedabad,Gujarat,68,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,738,Moderate,Moderate travel area
Chennai,Tamil Nadu,1090,High,Remote or high-distance area
Patna,Bihar,151,Low,Low-risk region
Manali,Himachal Pradesh,312,Low,Low-risk region
Ahmedabad,Gujarat,619,Moderate,Moderate travel area
Hyderabad,Telangana,1487,High,Remote or high-distance area
Bhopal,Madhya Pradesh,406,Low,Low-risk region
Bengaluru,Karnataka,673,Moderate,Moderate travel area
Patna,Bihar,793,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1375,High,Remote or high-distance area
Mumbai,Maharashtra,1067,High,Remote or high-distance area
Jaipur,Rajasthan,1038,High,Remote or high-distance area
Dehradun,Uttarakhand,463,Low,Low-risk region
Lucknow,Uttar Pradesh,618,Moderate,Moderate travel area
Jodhpur,Rajasthan,1213,High,Remote or high-distance area
Agra,Uttar Pradesh,1290,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1117,High,Remote or high-distance area
Agra,Uttar Pradesh,1428,High,Remote or high-distance area
Kolkata,West Bengal,478,Low,Low-risk region
Pune,Maharashtra,1277,High,Remote or high-distance area
Patna,Bihar,1440,High,Remote or high-distance area
Kolkata,West Bengal,582,Moderate,Moderate travel area
Manali,Himachal Pradesh,368,Low,Low-risk region
Patna,Bihar,809,Moderate,Moderate travel area
Hyderabad,Telangana,197,Low,Low-risk region
Nagpur,Maharashtra,197,Low,Low-risk region
Bhubaneswar,Odisha,1437,High,Remote or high-distance area
Manali,Himachal Pradesh,609,Moderate,Moderate travel area
Kolkata,West Bengal,1004,High,Remote or high-distance area
Amritsar,Punjab,877,Moderate,Moderate travel area
Goa,Goa,900,Moderate,Moderate travel area
New Delhi,Delhi,1360,High,Remote or high-distance area
Nagpur,Maharashtra,305,Low,Low-risk region
New Delhi,Delhi,227,Low,Low-risk region
Shimla,Himachal Pradesh,1069,High,Remote or high-distance area
Chennai,Tamil Nadu,225,Low,Low-risk region
Shimla,Himachal Pradesh,540,Moderate,Moderate travel area
Manali,Himachal Pradesh,1212,High,Remote or high-distance area
Chandigarh,Chandigarh,1039,High,Remote or high-distance area
New Delhi,Delhi,350,Low,Low-risk region
Ahmedabad,Gujarat,1121,High,Remote or high-distance area
Pune,Maharashtra,1401,High,Remote or high-distance area
Indore,Madhya Pradesh,1023,High,Remote or high-distance area
Manali,Himachal Pradesh,1411,High,Remote or high-distance area
Jaipur,Rajasthan,1496,High,Remote or high-distance area
Amritsar,Punjab,1264,High,Remote or high-distance area
Shimla,Himachal Pradesh,736,Moderate,Moderate travel area
Nagpur,Maharashtra,674,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,176,Low,Low-risk region
Shimla,Himachal Pradesh,1137,High,Remote or high-distance area
Dehradun,Uttarakhand,734,Moderate,Moderate travel area
Indore,Madhya Pradesh,104,Low,Low-risk region
Mumbai,Maharashtra,1131,High,Remote or high-distance area
Indore,Madhya Pradesh,985,Moderate,Moderate travel area
Jodhpur,Rajasthan,833,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,500,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,557,Moderate,Moderate travel area
Shimla,Himachal Pradesh,586,Moderate,Moderate travel area
Agra,Uttar Pradesh,301,Low,Low-risk region
Raipur,Chhattisgarh,1047,High,Remote or high-distance area
Thiruvananthapuram,Kerala,317,Low,Low-risk region
Varanasi,Uttar Pradesh,664,Moderate,Moderate travel area
Amritsar,Punjab,854,Moderate,Moderate travel area
Patna,Bihar,319,Low,Low-risk region
Varanasi,Uttar Pradesh,1146,High,Remote or high-distance area
Ahmedabad,Gujarat,260,Low,Low-risk region
Dehradun,Uttarakhand,1450,High,Remote or high-distance area
Patna,Bihar,1498,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1482,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1195,High,Remote or high-distance area
Mumbai,Maharashtra,327,Low,Low-risk region
Surat,Gujarat,1410,High,Remote or high-distance area
Hyderabad,Telangana,1188,High,Remote or high-distance area
Bhubaneswar,Odisha,169,Low,Low-risk region
Lucknow,Uttar Pradesh,111,Low,Low-risk region
Agra,Uttar Pradesh,659,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,419,Low,Low-risk region
Guwahati,Assam,555,Moderate,Moderate travel area
Ahmedabad,Gujarat,958,Moderate,Moderate travel area
Pune,Maharashtra,307,Low,Low-risk region
Guwahati,Assam,908,Moderate,Moderate travel area
Dehradun,Uttarakhand,1473,High,Remote or high-distance area
Varanasi,Uttar Pradesh,375,Low,Low-risk region
Nagpur,Maharashtra,193,Low,Low-risk region
Mumbai,Maharashtra,716,Moderate,Moderate travel area
Jaipur,Rajasthan,1434,High,Remote or high-distance area
Hyderabad,Telangana,1293,High,Remote or high-distance area
Surat,Gujarat,274,Low,Low-risk region
Ranchi,Jharkhand,639,Moderate,Moderate travel area
Kolkata,West Bengal,117,Low,Low-risk region
Indore,Madhya Pradesh,1070,High,Remote or high-distance area
Dehradun,Uttarakhand,1376,High,Remote or high-distance area
Surat,Gujarat,1474,High,Remote or high-distance area
Guwahati,Assam,147,Low,Low-risk region
Surat,Gujarat,1347,High,Remote or high-distance area
Goa,Goa,110,Low,Low-risk region
Manali,Himachal Pradesh,1157,High,Remote or high-distance area
Bengaluru,Karnataka,1241,High,Remote or high-distance area
Raipur,Chhattisgarh,899,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1223,High,Remote or high-distance area
Hyderabad,Telangana,249,Low,Low-risk region
Jodhpur,Rajasthan,446,Low,Low-risk region
Kolkata,West Bengal,302,Low,Low-risk region
Patna,Bihar,871,Moderate,Moderate travel area
Pune,Maharashtra,1007,High,Remote or high-distance area
Surat,Gujarat,853,Moderate,Moderate travel area
Chennai,Tamil Nadu,956,Moderate,Moderate travel area
Bhubaneswar,Odisha,1039,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1344,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1144,High,Remote or high-distance area
Dehradun,Uttarakhand,1001,High,Remote or high-distance area
Mumbai,Maharashtra,516,Moderate,Moderate travel area
Ahmedabad,Gujarat,265,Low,Low-risk region
Indore,Madhya Pradesh,1421,High,Remote or high-distance area
Bengaluru,Karnataka,743,Moderate,Moderate travel area
Hyderabad,Telangana,903,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,249,Low,Low-risk region
Agra,Uttar Pradesh,1001,High,Remote or high-distance area
Agra,Uttar Pradesh,1379,High,Remote or high-distance area
Thiruvananthapuram,Kerala,279,Low,Low-risk region
Shimla,Himachal Pradesh,901,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1268,High,Remote or high-distance area
Ranchi,Jharkhand,663,Moderate,Moderate travel area
Chennai,Tamil Nadu,187,Low,Low-risk region
Chandigarh,Chandigarh,785,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,480,Low,Low-risk region
Chandigarh,Chandigarh,1175,High,Remote or high-distance area
Patna,Bihar,1403,High,Remote or high-distance area
Varanasi,Uttar Pradesh,381,Low,Low-risk region
Jodhpur,Rajasthan,689,Moderate,Moderate travel area
Jodhpur,Rajasthan,350,Low,Low-risk region
Surat,Gujarat,721,Moderate,Moderate travel area
Shimla,Himachal Pradesh,400,Low,Low-risk region
Dehradun,Uttarakhand,1500,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,393,Low,Low-risk region
Bhubaneswar,Odisha,1481,High,Remote or high-distance area
Raipur,Chhattisgarh,602,Moderate,Moderate travel area
Ahmedabad,Gujarat,588,Moderate,Moderate travel area
Jaipur,Rajasthan,1048,High,Remote or high-distance area
Shimla,Himachal Pradesh,1428,High,Remote or high-distance area
Dehradun,Uttarakhand,596,Moderate,Moderate travel area
Ahmedabad,Gujarat,138,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,536,Moderate,Moderate travel area
Ahmedabad,Gujarat,696,Moderate,Moderate travel area
Dehradun,Uttarakhand,440,Low,Low-risk region
Chandigarh,Chandigarh,50,Low,Low-risk region
Hyderabad,Telangana,945,Moderate,Moderate travel area
Hyderabad,Telangana,928,Moderate,Moderate travel area
Nagpur,Maharashtra,605,Moderate,Moderate travel area
Patna,Bihar,890,Moderate,Moderate travel area
Raipur,Chhattisgarh,1016,High,Remote or high-distance area
Kolkata,West Bengal,1036,High,Remote or high-distance area
Hyderabad,Telangana,220,Low,Low-risk region
Patna,Bihar,98,Low,Low-risk region
Agra,Uttar Pradesh,1275,High,Remote or high-distance area
Kolkata,West Bengal,700,Moderate,Moderate travel area
Chennai,Tamil Nadu,403,Low,Low-risk region
Jaipur,Rajasthan,417,Low,Low-risk region
Dehradun,Uttarakhand,646,Moderate,Moderate travel area
Jodhpur,Rajasthan,755,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1410,High,Remote or high-distance area
Dehradun,Uttarakhand,658,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,582,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,109,Low,Low-risk region
Hyderabad,Telangana,1107,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1432,High,Remote or high-distance area
Bhopal,Madhya Pradesh,249,Low,Low-risk region
Ahmedabad,Gujarat,818,Moderate,Moderate travel area
Surat,Gujarat,1357,High,Remote or high-distance area
Chennai,Tamil Nadu,329,Low,Low-risk region
Surat,Gujarat,1387,High,Remote or high-distance area
Dehradun,Uttarakhand,248,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1342,High,Remote or high-distance area
Pune,Maharashtra,399,Low,Low-risk region
Chandigarh,Chandigarh,905,Moderate,Moderate travel area
Jaipur,Rajasthan,456,Low,Low-risk region
Surat,Gujarat,1376,High,Remote or high-distance area
Indore,Madhya Pradesh,882,Moderate,Moderate travel area
Jodhpur,Rajasthan,898,Moderate,Moderate travel area
Chennai,Tamil Nadu,977,Moderate,Moderate travel area
Goa,Goa,1454,High,Remote or high-distance area
Ranchi,Jharkhand,603,Moderate,Moderate travel area
Raipur,Chhattisgarh,191,Low,Low-risk region
Surat,Gujarat,1326,High,Remote or high-distance area
Ranchi,Jharkhand,691,Moderate,Moderate travel area
Hyderabad,Telangana,1449,High,Remote or high-distance area
Mumbai,Maharashtra,391,Low,Low-risk region
Shimla,Himachal Pradesh,194,Low,Low-risk region
Pune,Maharashtra,1241,High,Remote or high-distance area
Indore,Madhya Pradesh,149,Low,Low-risk region
Bhubaneswar,Odisha,1075,High,Remote or high-distance area
Shimla,Himachal Pradesh,215,Low,Low-risk region
Goa,Goa,715,Moderate,Moderate travel area
Raipur,Chhattisgarh,1464,High,Remote or high-distance area
Raipur,Chhattisgarh,1437,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1018,High,Remote or high-distance area
Goa,Goa,1330,High,Remote or high-distance area
Chandigarh,Chandigarh,706,Moderate,Moderate travel area
Goa,Goa,114,Low,Low-risk region
Indore,Madhya Pradesh,423,Low,Low-risk region
Amritsar,Punjab,1426,High,Remote or high-distance area
Indore,Madhya Pradesh,68,Low,Low-risk region
Lucknow,Uttar Pradesh,455,Low,Low-risk region
Guwahati,Assam,270,Low,Low-risk region
Amritsar,Punjab,288,Low,Low-risk region
Varanasi,Uttar Pradesh,1320,High,Remote or high-distance area
Agra,Uttar Pradesh,1414,High,Remote or high-distance area
Bengaluru,Karnataka,257,Low,Low-risk region
Lucknow,Uttar Pradesh,828,Moderate,Moderate travel area
Bengaluru,Karnataka,151,Low,Low-risk region
New Delhi,Delhi,379,Low,Low-risk region
Ranchi,Jharkhand,1195,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1478,High,Remote or high-distance area
Jaipur,Rajasthan,1485,High,Remote or high-distance area
Chennai,Tamil Nadu,776,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,967,Moderate,Moderate travel area
Pune,Maharashtra,1008,High,Remote or high-distance area
Patna,Bihar,867,Moderate,Moderate travel area
Pune,Maharashtra,248,Low,Low-risk region
Mumbai,Maharashtra,142,Low,Low-risk region
Jaipur,Rajasthan,215,Low,Low-risk region
Indore,Madhya Pradesh,449,Low,Low-risk region
Shimla,Himachal Pradesh,1438,High,Remote or high-distance area
Shimla,Himachal Pradesh,730,Moderate,Moderate travel area
Amritsar,Punjab,1231,High,Remote or high-distance area
Amritsar,Punjab,1066,High,Remote or high-distance area
Ahmedabad,Gujarat,1088,High,Remote or high-distance area
Manali,Himachal Pradesh,368,Low,Low-risk region
Varanasi,Uttar Pradesh,271,Low,Low-risk region
Hyderabad,Telangana,1137,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,931,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,616,Moderate,Moderate travel area
Chandigarh,Chandigarh,576,Moderate,Moderate travel area
Hyderabad,Telangana,243,Low,Low-risk region
Shimla,Himachal Pradesh,929,Moderate,Moderate travel area
Indore,Madhya Pradesh,1150,High,Remote or high-distance area
Goa,Goa,894,Moderate,Moderate travel area
Jodhpur,Rajasthan,909,Moderate,Moderate travel area
Manali,Himachal Pradesh,606,Moderate,Moderate travel area
Jodhpur,Rajasthan,1223,High,Remote or high-distance area
Bhubaneswar,Odisha,475,Low,Low-risk region
Nagpur,Maharashtra,545,Moderate,Moderate travel area
